PLAYER_NAME;TEAM_ABBREVIATION;AGE;GP;W;L;MIN;FG_PCT;FG3M;FG3A;FG3_PCT;FTM;FTA;FT_PCT;OREB;DREB;REB;AST;TOV;STL;BLK;PF;PTS;PLUS_MINUS;DD2;TD3;OFF_RATING;DEF_RATING;NET_RATING;AST_PCT;AST_TO;AST_RATIO;OREB_PCT;DREB_PCT;REB_PCT;TM_TOV_PCT;EFG_PCT;TS_PCT;USG_PCT;PACE;PIE;POSS;FGM_PG;FGA_PG;CONFIRMED
Aaron Gordon;DEN;26.0;75;46;29;31.7;0.52;1.2;3.5;0.335;2.3;3.1;0.743;1.7;4.2;5.9;2.5;1.8;0.6;0.6;2.0;15.0;4.3;6;0;117.3;111.1;6.2;0.109;1.41;15.0;0.057;0.129;0.095;10.6;0.573;0.602;0.194;99.0;0.096;4908;5.8;11.1;1.0
Aaron Henry;PHI;22.0;6;6;0;2.8;0.2;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.2;0.2;0.0;0.3;0.0;0.3;0.3;0.3;-3.3;0;0;71.1;127.0;-56.0;0.0;0.0;0.0;0.0;0.048;0.024;28.6;0.2;0.2;0.149;105.99;-0.079;38;0.2;0.8;0.0
Aaron Holiday;PHX;25.0;63;34;29;16.2;0.447;0.6;1.6;0.379;0.9;1.1;0.868;0.4;1.6;1.9;2.4;1.1;0.7;0.1;1.5;6.3;-0.6;0;0;106.8;108.2;-1.4;0.223;2.28;26.1;0.023;0.092;0.058;11.4;0.504;0.544;0.182;99.57;0.088;2113;2.4;5.4;1.0
Aaron Nesmith;BOS;22.0;52;32;20;11.0;0.396;0.6;2.2;0.27;0.4;0.5;0.808;0.3;1.4;1.7;0.4;0.6;0.4;0.1;1.3;3.8;0.4;0;0;107.3;104.3;3.0;0.057;0.71;9.0;0.025;0.117;0.073;12.7;0.481;0.507;0.164;100.58;0.048;1196;1.4;3.5;1.0
Aaron Wiggins;OKC;23.0;50;13;37;24.2;0.463;0.8;2.8;0.304;1.2;1.7;0.729;1.0;2.5;3.6;1.4;1.1;0.6;0.2;1.9;8.3;-4.7;0;0;104.5;112.6;-8.1;0.083;1.26;13.8;0.04;0.098;0.069;10.9;0.525;0.556;0.149;101.6;0.062;2546;3.1;6.7;1.0
Abdel Nader;PHX;28.0;14;11;3;10.4;0.343;0.3;1.0;0.286;0.4;0.7;0.6;0.3;1.6;1.9;0.5;0.8;0.6;0.3;1.4;2.4;-0.1;0;0;95.1;96.0;-0.9;0.065;0.64;12.1;0.026;0.145;0.087;19.0;0.4;0.431;0.139;107.91;0.036;327;0.9;2.5;0.0
Ade Murkey;SAC;24.0;1;0;1;1.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0;0;33.3;66.7;-33.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;98.18;0.0;3;0.0;0.0;0.0
Admiral Schofield;ORL;25.0;38;10;28;12.3;0.419;0.7;2.1;0.329;0.3;0.4;0.8;0.4;1.9;2.3;0.7;0.6;0.1;0.1;1.5;3.8;-3.4;0;0;100.3;113.8;-13.5;0.084;1.19;13.8;0.033;0.146;0.088;11.6;0.519;0.538;0.143;99.88;0.055;977;1.4;3.4;1.0
Ahmad Caver;IND;25.0;1;0;1;0.8;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0;0;0;200.0;66.7;133.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.5;142.29;0.4;2;1.0;1.0;0.0
Al Horford;BOS;36.0;69;46;23;29.1;0.467;1.3;3.8;0.336;1.2;1.4;0.842;1.6;6.1;7.7;3.4;0.9;0.7;1.3;1.9;10.2;5.6;15;0;112.8;103.4;9.3;0.159;3.57;25.6;0.054;0.201;0.13;7.2;0.546;0.574;0.147;98.03;0.123;4096;3.9;8.2;1.0
